Date,Total
2021-04-01 07:00:00,395
2021-04-01 08:00:00,343
2021-04-01 09:00:00,360
2021-04-01 10:00:00,360
2021-04-01 11:00:00,337
2021-04-01 12:00:00,302
2021-04-01 13:00:00,235
2021-04-01 14:00:00,250
2021-04-01 15:00:00,246
2021-04-01 16:00:00,270
2021-04-01 17:00:00,234
2021-04-01 18:00:00,409
2021-04-01 19:00:00,1044
2021-04-01 20:00:00,640
2021-04-01 21:00:00,684
2021-04-01 22:00:00,636
2021-04-01 23:00:00,453
2021-04-02 00:00:00,787
2021-04-02 01:00:00,780
2021-04-02 02:00:00,1070
2021-04-02 03:00:00,837
2021-04-02 04:00:00,708
2021-04-02 05:00:00,490
2021-04-02 06:00:00,410
2021-04-02 07:00:00,426
2021-04-02 08:00:00,440
2021-04-02 09:00:00,316
2021-04-02 10:00:00,164
2021-04-02 11:00:00,60
2021-04-02 12:00:00,61
2021-04-02 13:00:00,80
2021-04-02 14:00:00,66
2021-04-02 15:00:00,138
2021-04-02 16:00:00,167
2021-04-02 17:00:00,290
2021-04-02 18:00:00,566
2021-04-02 19:00:00,326
2021-04-02 20:00:00,246
2021-04-02 21:00:00,295
2021-04-02 22:00:00,256
2021-04-02 23:00:00,609
2021-04-03 00:00:00,1049
2021-04-03 01:00:00,980
2021-04-03 02:00:00,889
2021-04-03 03:00:00,865
2021-04-03 04:00:00,1001
2021-04-03 05:00:00,825
2021-04-03 06:00:00,976
2021-04-03 07:00:00,769
2021-04-03 08:00:00,445
2021-04-03 09:00:00,321
2021-04-03 10:00:00,226
2021-04-03 11:00:00,213
2021-04-03 12:00:00,240
2021-04-03 13:00:00,228
2021-04-03 14:00:00,184
2021-04-03 15:00:00,232
2021-04-03 16:00:00,318
2021-04-03 17:00:00,423
2021-04-03 18:00:00,535
2021-04-03 19:00:00,448
2021-04-03 20:00:00,423
2021-04-03 21:00:00,392
2021-04-03 22:00:00,516
2021-04-03 23:00:00,468
2021-04-04 00:00:00,500
2021-04-04 01:00:00,380
2021-04-04 02:00:00,491
2021-04-04 03:00:00,518
2021-04-04 04:00:00,456
2021-04-04 05:00:00,867
2021-04-04 06:00:00,578
2021-04-04 07:00:00,318
2021-04-04 08:00:00,317
2021-04-04 09:00:00,332
2021-04-04 10:00:00,280
2021-04-04 11:00:00,289
2021-04-04 12:00:00,220
2021-04-04 13:00:00,241
2021-04-04 14:00:00,258
2021-04-04 15:00:00,169
2021-04-04 16:00:00,87
2021-04-04 17:00:00,146
2021-04-04 18:00:00,106
2021-04-04 19:00:00,228
2021-04-04 20:00:00,229
2021-04-04 21:00:00,361
2021-04-04 22:00:00,359
2021-04-04 23:00:00,373
2021-04-05 00:00:00,387
2021-04-05 01:00:00,319
2021-04-05 02:00:00,409
2021-04-05 03:00:00,365
2021-04-05 04:00:00,503
2021-04-05 05:00:00,570
2021-04-05 06:00:00,495
2021-04-05 07:00:00,435
2021-04-05 08:00:00,363
2021-04-05 09:00:00,240
2021-04-05 10:00:00,241
2021-04-05 11:00:00,239
2021-04-05 12:00:00,167
2021-04-05 13:00:00,191
2021-04-05 14:00:00,181
2021-04-05 15:00:00,198
2021-04-05 16:00:00,208
2021-04-05 17:00:00,294
2021-04-05 18:00:00,486
2021-04-05 19:00:00,368
2021-04-05 20:00:00,333
2021-04-05 21:00:00,407
2021-04-05 22:00:00,291
2021-04-05 23:00:00,353
2021-04-06 00:00:00,480
2021-04-06 01:00:00,728
2021-04-06 02:00:00,515
2021-04-06 03:00:00,555
2021-04-06 04:00:00,622
2021-04-06 05:00:00,659
2021-04-06 06:00:00,684
2021-04-06 07:00:00,665
2021-04-06 08:00:00,467
2021-04-06 09:00:00,320
2021-04-06 10:00:00,386
2021-04-06 11:00:00,366
2021-04-06 12:00:00,301
2021-04-06 13:00:00,273
2021-04-06 14:00:00,253
2021-04-06 15:00:00,328
2021-04-06 16:00:00,413
2021-04-06 17:00:00,398
2021-04-06 18:00:00,471
2021-04-06 19:00:00,402
2021-04-06 20:00:00,636
2021-04-06 21:00:00,965
2021-04-06 22:00:00,669
2021-04-06 23:00:00,780
2021-04-07 00:00:00,1113
2021-04-07 01:00:00,1382
2021-04-07 02:00:00,1313
2021-04-07 03:00:00,861
2021-04-07 04:00:00,744
2021-04-07 05:00:00,681
2021-04-07 06:00:00,596
2021-04-07 07:00:00,877
2021-04-07 08:00:00,640
2021-04-07 09:00:00,419
2021-04-07 10:00:00,422
2021-04-07 11:00:00,400
2021-04-07 12:00:00,270
2021-04-07 13:00:00,254
2021-04-07 14:00:00,326
2021-04-07 15:00:00,374
2021-04-07 16:00:00,501
2021-04-07 17:00:00,414
2021-04-07 18:00:00,348
2021-04-07 19:00:00,341
2021-04-07 20:00:00,913
2021-04-07 21:00:00,895
2021-04-07 22:00:00,572
2021-04-07 23:00:00,551
2021-04-08 00:00:00,507
2021-04-08 01:00:00,447
2021-04-08 02:00:00,749
2021-04-08 03:00:00,932
2021-04-08 04:00:00,742
2021-04-08 05:00:00,642
2021-04-08 06:00:00,885
2021-04-08 07:00:00,801
2021-04-08 08:00:00,575
2021-04-08 09:00:00,541
2021-04-08 10:00:00,334
2021-04-08 11:00:00,198
2021-04-08 12:00:00,180
2021-04-08 13:00:00,180
2021-04-08 14:00:00,181
2021-04-08 15:00:00,208
2021-04-08 16:00:00,244
2021-04-08 17:00:00,273
2021-04-08 18:00:00,440
2021-04-08 19:00:00,393
2021-04-08 20:00:00,261
2021-04-08 21:00:00,223
2021-04-08 22:00:00,241
2021-04-08 23:00:00,310
2021-04-09 00:00:00,417
2021-04-09 01:00:00,362
2021-04-09 02:00:00,374
2021-04-09 03:00:00,564
2021-04-09 04:00:00,404
2021-04-09 05:00:00,385
2021-04-09 06:00:00,370
2021-04-09 07:00:00,283
2021-04-09 08:00:00,185
2021-04-09 09:00:00,222
2021-04-09 10:00:00,240
2021-04-09 11:00:00,242
2021-04-09 12:00:00,235
2021-04-09 13:00:00,181
2021-04-09 14:00:00,136
2021-04-09 15:00:00,158
2021-04-09 16:00:00,208
2021-04-09 17:00:00,373
2021-04-09 18:00:00,478
2021-04-09 19:00:00,441
2021-04-09 20:00:00,368
2021-04-09 21:00:00,321
2021-04-09 22:00:00,213
2021-04-09 23:00:00,272
2021-04-10 00:00:00,416
2021-04-10 01:00:00,336
2021-04-10 02:00:00,328
2021-04-10 03:00:00,498
2021-04-10 04:00:00,492
2021-04-10 05:00:00,548
2021-04-10 06:00:00,725
2021-04-10 07:00:00,309
2021-04-10 08:00:00,282
2021-04-10 09:00:00,249
2021-04-10 10:00:00,311
2021-04-10 11:00:00,361
2021-04-10 12:00:00,237
2021-04-10 13:00:00,144
2021-04-10 14:00:00,53
2021-04-10 15:00:00,131
2021-04-10 16:00:00,121
2021-04-10 17:00:00,284
2021-04-10 18:00:00,349
2021-04-10 19:00:00,417
2021-04-10 20:00:00,414
2021-04-10 21:00:00,231
2021-04-10 22:00:00,227
2021-04-10 23:00:00,165
2021-04-11 00:00:00,293
2021-04-11 01:00:00,429
2021-04-11 02:00:00,630
2021-04-11 03:00:00,951
2021-04-11 04:00:00,704
2021-04-11 05:00:00,1027
2021-04-11 06:00:00,636
2021-04-11 07:00:00,720
2021-04-11 08:00:00,538
2021-04-11 09:00:00,215
2021-04-11 10:00:00,294
2021-04-11 11:00:00,241
2021-04-11 12:00:00,226
2021-04-11 13:00:00,189
2021-04-11 14:00:00,225
2021-04-11 15:00:00,424
2021-04-11 16:00:00,409
2021-04-11 17:00:00,408
2021-04-11 18:00:00,465
2021-04-11 19:00:00,499
2021-04-11 20:00:00,545
2021-04-11 21:00:00,551
2021-04-11 22:00:00,1064
2021-04-11 23:00:00,933
2021-04-12 00:00:00,638
2021-04-12 01:00:00,438
2021-04-12 02:00:00,346
2021-04-12 03:00:00,605
2021-04-12 04:00:00,882
2021-04-12 05:00:00,598
2021-04-12 06:00:00,488
2021-04-12 07:00:00,523
2021-04-12 08:00:00,455
2021-04-12 09:00:00,408
2021-04-12 10:00:00,240
2021-04-12 11:00:00,243
2021-04-12 12:00:00,241
2021-04-12 13:00:00,242
2021-04-12 14:00:00,288
2021-04-12 15:00:00,211
2021-04-12 16:00:00,291
2021-04-12 17:00:00,315
2021-04-12 18:00:00,476
2021-04-12 19:00:00,729
2021-04-12 20:00:00,604
2021-04-12 21:00:00,997
2021-04-12 22:00:00,831
2021-04-12 23:00:00,490
2021-04-13 00:00:00,482
2021-04-13 01:00:00,547
2021-04-13 02:00:00,530
2021-04-13 03:00:00,636
2021-04-13 04:00:00,903
2021-04-13 05:00:00,834
2021-04-13 06:00:00,654
2021-04-13 07:00:00,555
2021-04-13 08:00:00,525
2021-04-13 09:00:00,373
2021-04-13 10:00:00,301
2021-04-13 11:00:00,273
2021-04-13 12:00:00,181
2021-04-13 13:00:00,248
2021-04-13 14:00:00,389
2021-04-13 15:00:00,324
2021-04-13 16:00:00,720
2021-04-13 17:00:00,888
2021-04-13 18:00:00,539
2021-04-13 19:00:00,609
2021-04-13 20:00:00,1085
2021-04-13 21:00:00,1007
2021-04-13 22:00:00,1269
2021-04-13 23:00:00,567
2021-04-14 00:00:00,375
2021-04-14 01:00:00,439
2021-04-14 02:00:00,730
2021-04-14 03:00:00,683
2021-04-14 04:00:00,524
2021-04-14 05:00:00,436
2021-04-14 06:00:00,639
2021-04-14 07:00:00,713
2021-04-14 08:00:00,500
2021-04-14 09:00:00,288
2021-04-14 10:00:00,191
2021-04-14 11:00:00,154
2021-04-14 12:00:00,168
2021-04-14 13:00:00,117
2021-04-14 14:00:00,85
2021-04-14 15:00:00,238
2021-04-14 16:00:00,294
2021-04-14 17:00:00,258
2021-04-14 18:00:00,293
2021-04-14 19:00:00,177
2021-04-14 20:00:00,186
2021-04-14 21:00:00,1117
2021-04-14 22:00:00,690
2021-04-14 23:00:00,736
2021-04-15 00:00:00,487
2021-04-15 01:00:00,357
2021-04-15 02:00:00,370
2021-04-15 03:00:00,625
2021-04-15 04:00:00,504
2021-04-15 05:00:00,838
2021-04-15 06:00:00,920
2021-04-15 07:00:00,715
2021-04-15 08:00:00,350
2021-04-15 09:00:00,343
2021-04-15 10:00:00,360
2021-04-15 11:00:00,296
2021-04-15 12:00:00,222
2021-04-15 13:00:00,140
2021-04-15 14:00:00,221
2021-04-15 15:00:00,215
2021-04-15 16:00:00,223
2021-04-15 17:00:00,301
2021-04-15 18:00:00,399
2021-04-15 19:00:00,433
2021-04-15 20:00:00,399
2021-04-15 21:00:00,393
2021-04-15 22:00:00,1028
2021-04-15 23:00:00,860
2021-04-16 00:00:00,465
2021-04-16 01:00:00,427
2021-04-16 02:00:00,576
2021-04-16 03:00:00,670
2021-04-16 04:00:00,712
2021-04-16 05:00:00,524
2021-04-16 06:00:00,462
2021-04-16 07:00:00,453
2021-04-16 08:00:00,360
2021-04-16 09:00:00,288
2021-04-16 10:00:00,194
2021-04-16 11:00:00,199
2021-04-16 12:00:00,255
2021-04-16 13:00:00,206
2021-04-16 14:00:00,124
2021-04-16 15:00:00,132
2021-04-16 16:00:00,97
2021-04-16 17:00:00,323
2021-04-16 18:00:00,373
2021-04-16 19:00:00,377
2021-04-16 20:00:00,470
2021-04-16 21:00:00,485
2021-04-16 22:00:00,364
2021-04-16 23:00:00,339
2021-04-17 00:00:00,369
2021-04-17 01:00:00,556
2021-04-17 02:00:00,393
2021-04-17 03:00:00,457
2021-04-17 04:00:00,735
2021-04-17 05:00:00,853
2021-04-17 06:00:00,754
2021-04-17 07:00:00,363
2021-04-17 08:00:00,211
2021-04-17 09:00:00,182
2021-04-17 10:00:00,181
2021-04-17 11:00:00,179
2021-04-17 12:00:00,132
2021-04-17 13:00:00,183
2021-04-17 14:00:00,205
2021-04-17 15:00:00,219
2021-04-17 16:00:00,262
2021-04-17 17:00:00,234
2021-04-17 18:00:00,272
2021-04-17 19:00:00,450
2021-04-17 20:00:00,456
2021-04-17 21:00:00,690
2021-04-17 22:00:00,637
2021-04-17 23:00:00,610
2021-04-18 00:00:00,430
2021-04-18 01:00:00,479
2021-04-18 02:00:00,485
2021-04-18 03:00:00,514
2021-04-18 04:00:00,547
2021-04-18 05:00:00,758
2021-04-18 06:00:00,502
2021-04-18 07:00:00,564
2021-04-18 08:00:00,336
2021-04-18 09:00:00,171
2021-04-18 10:00:00,121
2021-04-18 11:00:00,158
2021-04-18 12:00:00,214
2021-04-18 13:00:00,276
2021-04-18 14:00:00,221
2021-04-18 15:00:00,195
2021-04-18 16:00:00,152
2021-04-18 17:00:00,147
2021-04-18 18:00:00,217
2021-04-18 19:00:00,582
2021-04-18 20:00:00,621
2021-04-18 21:00:00,513
2021-04-18 22:00:00,561
2021-04-18 23:00:00,353
2021-04-19 00:00:00,527
2021-04-19 01:00:00,639
2021-04-19 02:00:00,762
2021-04-19 03:00:00,516
2021-04-19 04:00:00,428
2021-04-19 05:00:00,237
2021-04-19 06:00:00,340
2021-04-19 07:00:00,469
2021-04-19 08:00:00,357
2021-04-19 09:00:00,267
2021-04-19 10:00:00,185
2021-04-19 11:00:00,180
2021-04-19 12:00:00,182
2021-04-19 13:00:00,229
2021-04-19 14:00:00,241
2021-04-19 15:00:00,319
2021-04-19 16:00:00,283
2021-04-19 17:00:00,404
2021-04-19 18:00:00,610
2021-04-19 19:00:00,1000
2021-04-19 20:00:00,757
2021-04-19 21:00:00,870
2021-04-19 22:00:00,549
2021-04-19 23:00:00,372
2021-04-20 00:00:00,543
2021-04-20 01:00:00,502
2021-04-20 02:00:00,569
2021-04-20 03:00:00,936
2021-04-20 04:00:00,688
2021-04-20 05:00:00,623
2021-04-20 06:00:00,559
2021-04-20 07:00:00,371
2021-04-20 08:00:00,498
2021-04-20 09:00:00,431
2021-04-20 10:00:00,394
2021-04-20 11:00:00,455
2021-04-20 12:00:00,403
2021-04-20 13:00:00,347
2021-04-20 14:00:00,227
2021-04-20 15:00:00,221
2021-04-20 16:00:00,219
2021-04-20 17:00:00,888
2021-04-20 18:00:00,1296
2021-04-20 19:00:00,709
2021-04-20 20:00:00,890
2021-04-20 21:00:00,693
2021-04-20 22:00:00,526
2021-04-20 23:00:00,467
2021-04-21 00:00:00,358
2021-04-21 01:00:00,480
2021-04-21 02:00:00,1101
2021-04-21 03:00:00,528
2021-04-21 04:00:00,500
2021-04-21 05:00:00,305
2021-04-21 06:00:00,763
2021-04-21 07:00:00,785
2021-04-21 08:00:00,431
2021-04-21 09:00:00,213
2021-04-21 10:00:00,120
2021-04-21 11:00:00,121
2021-04-21 12:00:00,159
2021-04-21 13:00:00,184
2021-04-21 14:00:00,196
2021-04-21 15:00:00,179
2021-04-21 16:00:00,344
2021-04-21 17:00:00,843
2021-04-21 18:00:00,732
2021-04-21 19:00:00,505
2021-04-21 20:00:00,171
2021-04-21 21:00:00,125
2021-04-21 22:00:00,237
2021-04-21 23:00:00,524
2021-04-22 00:00:00,208
2021-04-22 01:00:00,308
2021-04-22 02:00:00,157
2021-04-22 03:00:00,396
2021-04-22 04:00:00,191
2021-04-22 05:00:00,256
2021-04-22 06:00:00,446
2021-04-22 07:00:00,370
2021-04-22 08:00:00,198
2021-04-22 09:00:00,167
2021-04-22 10:00:00,120
2021-04-22 11:00:00,120
2021-04-22 12:00:00,78
2021-04-22 13:00:00,61
2021-04-22 14:00:00,103
2021-04-22 15:00:00,128
2021-04-22 16:00:00,181
2021-04-22 17:00:00,305
2021-04-22 18:00:00,1124
2021-04-22 19:00:00,767
2021-04-22 20:00:00,614
2021-04-22 21:00:00,571
2021-04-22 22:00:00,534
2021-04-22 23:00:00,148
2021-04-23 00:00:00,334
2021-04-23 01:00:00,372
2021-04-23 02:00:00,578
2021-04-23 03:00:00,386
2021-04-23 04:00:00,376
2021-04-23 05:00:00,739
2021-04-23 06:00:00,384
2021-04-23 07:00:00,303
2021-04-23 08:00:00,335
2021-04-23 09:00:00,348
2021-04-23 10:00:00,169
2021-04-23 11:00:00,123
2021-04-23 12:00:00,99
2021-04-23 13:00:00,114
2021-04-23 14:00:00,271
2021-04-23 15:00:00,319
2021-04-23 16:00:00,450
2021-04-23 17:00:00,506
2021-04-23 18:00:00,726
2021-04-23 19:00:00,706
2021-04-23 20:00:00,710
2021-04-23 21:00:00,467
2021-04-23 22:00:00,35
2021-04-23 23:00:00,483
2021-04-24 00:00:00,163
2021-04-24 01:00:00,104
2021-04-24 02:00:00,263
2021-04-24 03:00:00,295
2021-04-24 04:00:00,283
2021-04-24 05:00:00,492
2021-04-24 06:00:00,761
2021-04-24 07:00:00,267
2021-04-24 08:00:00,180
2021-04-24 09:00:00,122
2021-04-24 10:00:00,97
2021-04-24 11:00:00,70
2021-04-24 12:00:00,135
2021-04-24 13:00:00,160
2021-04-24 14:00:00,178
2021-04-24 15:00:00,167
2021-04-24 16:00:00,215
2021-04-24 17:00:00,297
2021-04-24 18:00:00,394
2021-04-24 19:00:00,373
2021-04-24 20:00:00,881
2021-04-24 21:00:00,763
2021-04-24 22:00:00,562
2021-04-24 23:00:00,280
2021-04-25 00:00:00,290
2021-04-25 01:00:00,494
2021-04-25 02:00:00,529
2021-04-25 03:00:00,605
2021-04-25 04:00:00,776
2021-04-25 05:00:00,904
2021-04-25 06:00:00,615
2021-04-25 07:00:00,730
2021-04-25 08:00:00,860
2021-04-25 09:00:00,673
2021-04-25 10:00:00,560
2021-04-25 11:00:00,403
2021-04-25 12:00:00,327
2021-04-25 13:00:00,361
2021-04-25 14:00:00,450
2021-04-25 15:00:00,458
2021-04-25 16:00:00,397
2021-04-25 17:00:00,386
2021-04-25 18:00:00,379
2021-04-25 19:00:00,297
2021-04-25 20:00:00,314
2021-04-25 21:00:00,361
2021-04-25 22:00:00,512
2021-04-25 23:00:00,618
2021-04-26 00:00:00,381
2021-04-26 01:00:00,305
2021-04-26 02:00:00,274
2021-04-26 03:00:00,283
2021-04-26 04:00:00,604
2021-04-26 05:00:00,529
2021-04-26 06:00:00,408
2021-04-26 07:00:00,397
2021-04-26 08:00:00,324
2021-04-26 09:00:00,245
2021-04-26 10:00:00,187
2021-04-26 11:00:00,180
2021-04-26 12:00:00,188
2021-04-26 13:00:00,244
2021-04-26 14:00:00,123
2021-04-26 15:00:00,233
2021-04-26 16:00:00,197
2021-04-26 17:00:00,598
2021-04-26 18:00:00,1009
2021-04-26 19:00:00,758
2021-04-26 20:00:00,577
2021-04-26 21:00:00,890
2021-04-26 22:00:00,321
2021-04-26 23:00:00,279
2021-04-27 00:00:00,655
2021-04-27 01:00:00,476
2021-04-27 02:00:00,401
2021-04-27 03:00:00,511
2021-04-27 04:00:00,642
2021-04-27 05:00:00,739
2021-04-27 06:00:00,603
2021-04-27 07:00:00,307
2021-04-27 08:00:00,0
2021-04-27 09:00:00,2
2021-04-27 10:00:00,23
2021-04-27 11:00:00,121
2021-04-27 12:00:00,241
2021-04-27 13:00:00,411
2021-04-27 14:00:00,263
2021-04-27 15:00:00,323
2021-04-27 16:00:00,329
2021-04-27 17:00:00,392
2021-04-27 18:00:00,668
2021-04-27 19:00:00,753
2021-04-27 20:00:00,459
2021-04-27 21:00:00,431
2021-04-27 22:00:00,776
2021-04-27 23:00:00,660
2021-04-28 00:00:00,613
2021-04-28 01:00:00,700
2021-04-28 02:00:00,555
2021-04-28 03:00:00,66
2021-04-28 04:00:00,61
2021-04-28 05:00:00,211
2021-04-28 06:00:00,294
2021-04-28 07:00:00,613
2021-04-28 08:00:00,387
