Date,Total
2021-02-01 07:00:00,323
2021-02-01 08:00:00,276
2021-02-01 09:00:00,383
2021-02-01 10:00:00,342
2021-02-01 11:00:00,341
2021-02-01 12:00:00,298
2021-02-01 13:00:00,229
2021-02-01 14:00:00,293
2021-02-01 15:00:00,184
2021-02-01 16:00:00,222
2021-02-01 17:00:00,294
2021-02-01 18:00:00,293
2021-02-01 19:00:00,420
2021-02-01 20:00:00,1081
2021-02-01 21:00:00,773
2021-02-01 22:00:00,840
2021-02-01 23:00:00,906
2021-02-02 00:00:00,1093
2021-02-02 01:00:00,851
2021-02-02 02:00:00,1022
2021-02-02 03:00:00,793
2021-02-02 04:00:00,938
2021-02-02 05:00:00,1108
2021-02-02 06:00:00,720
2021-02-02 07:00:00,476
2021-02-02 08:00:00,377
2021-02-02 09:00:00,297
2021-02-02 10:00:00,300
2021-02-02 11:00:00,301
2021-02-02 12:00:00,328
2021-02-02 13:00:00,202
2021-02-02 14:00:00,243
2021-02-02 15:00:00,367
2021-02-02 16:00:00,328
2021-02-02 17:00:00,424
2021-02-02 18:00:00,234
2021-02-02 19:00:00,463
2021-02-02 20:00:00,477
2021-02-02 21:00:00,836
2021-02-02 22:00:00,1522
2021-02-02 23:00:00,801
2021-02-03 00:00:00,710
2021-02-03 01:00:00,528
2021-02-03 02:00:00,590
2021-02-03 03:00:00,858
2021-02-03 04:00:00,749
2021-02-03 05:00:00,962
2021-02-03 06:00:00,970
2021-02-03 07:00:00,946
2021-02-03 08:00:00,715
2021-02-03 09:00:00,501
2021-02-03 10:00:00,356
2021-02-03 11:00:00,371
2021-02-03 12:00:00,315
2021-02-03 13:00:00,240
2021-02-03 14:00:00,242
2021-02-03 15:00:00,290
2021-02-03 16:00:00,380
2021-02-03 17:00:00,479
2021-02-03 18:00:00,304
2021-02-03 19:00:00,389
2021-02-03 20:00:00,408
2021-02-03 21:00:00,272
2021-02-03 22:00:00,486
2021-02-03 23:00:00,1015
2021-02-04 00:00:00,1015
2021-02-04 01:00:00,704
2021-02-04 02:00:00,898
2021-02-04 03:00:00,934
2021-02-04 04:00:00,988
2021-02-04 05:00:00,783
2021-02-04 06:00:00,349
2021-02-04 07:00:00,335
2021-02-04 08:00:00,358
2021-02-04 09:00:00,312
2021-02-04 10:00:00,250
2021-02-04 11:00:00,280
2021-02-04 12:00:00,245
2021-02-04 13:00:00,240
2021-02-04 14:00:00,247
2021-02-04 15:00:00,269
2021-02-04 16:00:00,275
2021-02-04 17:00:00,359
2021-02-04 18:00:00,436
2021-02-04 19:00:00,624
2021-02-04 20:00:00,514
2021-02-04 21:00:00,662
2021-02-04 22:00:00,516
2021-02-04 23:00:00,359
2021-02-05 00:00:00,363
2021-02-05 01:00:00,429
2021-02-05 02:00:00,321
2021-02-05 03:00:00,354
2021-02-05 04:00:00,474
2021-02-05 05:00:00,582
2021-02-05 06:00:00,498
2021-02-05 07:00:00,585
2021-02-05 08:00:00,621
2021-02-05 09:00:00,663
2021-02-05 10:00:00,639
2021-02-05 11:00:00,516
2021-02-05 12:00:00,293
2021-02-05 13:00:00,191
2021-02-05 14:00:00,106
2021-02-05 15:00:00,93
2021-02-05 16:00:00,120
2021-02-05 17:00:00,201
2021-02-05 18:00:00,199
2021-02-05 19:00:00,288
2021-02-05 20:00:00,487
2021-02-05 21:00:00,765
2021-02-05 22:00:00,935
2021-02-05 23:00:00,778
2021-02-06 00:00:00,595
2021-02-06 01:00:00,595
2021-02-06 02:00:00,539
2021-02-06 03:00:00,692
2021-02-06 04:00:00,708
2021-02-06 05:00:00,567
2021-02-06 06:00:00,489
2021-02-06 07:00:00,658
2021-02-06 08:00:00,341
2021-02-06 09:00:00,240
2021-02-06 10:00:00,245
2021-02-06 11:00:00,243
2021-02-06 12:00:00,228
2021-02-06 13:00:00,180
2021-02-06 14:00:00,184
2021-02-06 15:00:00,230
2021-02-06 16:00:00,308
2021-02-06 17:00:00,253
2021-02-06 18:00:00,237
2021-02-06 19:00:00,351
2021-02-06 20:00:00,487
2021-02-06 21:00:00,394
2021-02-06 22:00:00,414
2021-02-06 23:00:00,397
2021-02-07 00:00:00,391
2021-02-07 01:00:00,515
2021-02-07 02:00:00,540
2021-02-07 03:00:00,424
2021-02-07 04:00:00,500
2021-02-07 05:00:00,530
2021-02-07 06:00:00,888
2021-02-07 07:00:00,946
2021-02-07 08:00:00,996
