Date,Total
2021-03-01 07:00:00,445
2021-03-01 08:00:00,10
2021-03-01 09:00:00,120
2021-03-01 10:00:00,307
2021-03-01 11:00:00,360
2021-03-01 12:00:00,186
2021-03-01 13:00:00,5
2021-03-01 14:00:00,27
2021-03-01 15:00:00,94
2021-03-01 16:00:00,207
2021-03-01 17:00:00,308
2021-03-01 18:00:00,799
2021-03-01 19:00:00,756
2021-03-01 20:00:00,475
2021-03-01 21:00:00,451
2021-03-01 22:00:00,352
2021-03-01 23:00:00,739
2021-03-02 00:00:00,418
2021-03-02 01:00:00,754
2021-03-02 02:00:00,395
2021-03-02 03:00:00,423
2021-03-02 04:00:00,790
2021-03-02 05:00:00,515
2021-03-02 06:00:00,349
2021-03-02 07:00:00,202
2021-03-02 08:00:00,36
2021-03-02 09:00:00,4
2021-03-02 10:00:00,56
2021-03-02 11:00:00,64
2021-03-02 12:00:00,61
2021-03-02 13:00:00,83
2021-03-02 14:00:00,81
2021-03-02 15:00:00,68
2021-03-02 16:00:00,182
2021-03-02 17:00:00,252
2021-03-02 18:00:00,221
2021-03-02 19:00:00,611
2021-03-02 20:00:00,789
2021-03-02 21:00:00,809
2021-03-02 22:00:00,529
2021-03-02 23:00:00,564
2021-03-03 00:00:00,387
2021-03-03 01:00:00,361
2021-03-03 02:00:00,187
2021-03-03 03:00:00,305
2021-03-03 04:00:00,330
2021-03-03 05:00:00,511
2021-03-03 06:00:00,425
2021-03-03 07:00:00,353
2021-03-03 08:00:00,331
2021-03-03 09:00:00,165
2021-03-03 10:00:00,135
2021-03-03 11:00:00,124
2021-03-03 12:00:00,69
2021-03-03 13:00:00,61
2021-03-03 14:00:00,61
2021-03-03 15:00:00,75
2021-03-03 16:00:00,191
2021-03-03 17:00:00,175
2021-03-03 18:00:00,239
2021-03-03 19:00:00,345
2021-03-03 20:00:00,296
2021-03-03 21:00:00,272
2021-03-03 22:00:00,275
2021-03-03 23:00:00,560
2021-03-04 00:00:00,923
2021-03-04 01:00:00,859
2021-03-04 02:00:00,784
2021-03-04 03:00:00,605
2021-03-04 04:00:00,930
2021-03-04 05:00:00,881
2021-03-04 06:00:00,804
2021-03-04 07:00:00,624
2021-03-04 08:00:00,622
2021-03-04 09:00:00,225
2021-03-04 10:00:00,187
2021-03-04 11:00:00,230
2021-03-04 12:00:00,210
2021-03-04 13:00:00,228
2021-03-04 14:00:00,183
2021-03-04 15:00:00,204
2021-03-04 16:00:00,204
2021-03-04 17:00:00,297
2021-03-04 18:00:00,366
2021-03-04 19:00:00,262
2021-03-04 20:00:00,315
2021-03-04 21:00:00,348
2021-03-04 22:00:00,688
2021-03-04 23:00:00,1240
2021-03-05 00:00:00,600
2021-03-05 01:00:00,402
2021-03-05 02:00:00,515
2021-03-05 03:00:00,429
2021-03-05 04:00:00,535
2021-03-05 05:00:00,433
2021-03-05 06:00:00,386
2021-03-05 07:00:00,342
2021-03-05 08:00:00,275
2021-03-05 09:00:00,303
2021-03-05 10:00:00,279
2021-03-05 11:00:00,232
2021-03-05 12:00:00,121
2021-03-05 13:00:00,127
2021-03-05 14:00:00,158
2021-03-05 15:00:00,206
2021-03-05 16:00:00,326
2021-03-05 17:00:00,468
2021-03-05 18:00:00,580
2021-03-05 19:00:00,445
2021-03-05 20:00:00,547
2021-03-05 21:00:00,329
2021-03-05 22:00:00,621
2021-03-05 23:00:00,671
2021-03-06 00:00:00,814
2021-03-06 01:00:00,820
2021-03-06 02:00:00,777
2021-03-06 03:00:00,663
2021-03-06 04:00:00,982
2021-03-06 05:00:00,743
2021-03-06 06:00:00,718
2021-03-06 07:00:00,883
2021-03-06 08:00:00,510
2021-03-06 09:00:00,413
2021-03-06 10:00:00,357
2021-03-06 11:00:00,312
2021-03-06 12:00:00,301
2021-03-06 13:00:00,172
2021-03-06 14:00:00,171
2021-03-06 15:00:00,195
2021-03-06 16:00:00,204
2021-03-06 17:00:00,271
2021-03-06 18:00:00,367
2021-03-06 19:00:00,361
2021-03-06 20:00:00,324
2021-03-06 21:00:00,304
2021-03-06 22:00:00,434
2021-03-06 23:00:00,579
2021-03-07 00:00:00,533
2021-03-07 01:00:00,711
2021-03-07 02:00:00,725
2021-03-07 03:00:00,605
2021-03-07 04:00:00,753
2021-03-07 05:00:00,771
2021-03-07 06:00:00,920
2021-03-07 07:00:00,821
2021-03-07 08:00:00,755
2021-03-07 09:00:00,634
2021-03-07 10:00:00,298
2021-03-07 11:00:00,140
2021-03-07 12:00:00,142
2021-03-07 13:00:00,181
2021-03-07 14:00:00,141
2021-03-07 15:00:00,136
2021-03-07 16:00:00,221
2021-03-07 17:00:00,355
2021-03-07 18:00:00,473
2021-03-07 19:00:00,402
2021-03-07 20:00:00,322
2021-03-07 21:00:00,329
2021-03-07 22:00:00,452
2021-03-07 23:00:00,286
2021-03-08 00:00:00,377
2021-03-08 01:00:00,413
2021-03-08 02:00:00,508
2021-03-08 03:00:00,614
2021-03-08 04:00:00,629
2021-03-08 05:00:00,678
2021-03-08 06:00:00,354
2021-03-08 07:00:00,318
2021-03-08 08:00:00,321
2021-03-08 09:00:00,333
2021-03-08 10:00:00,308
2021-03-08 11:00:00,339
2021-03-08 12:00:00,428
2021-03-08 13:00:00,340
2021-03-08 14:00:00,372
2021-03-08 15:00:00,280
2021-03-08 16:00:00,369
2021-03-08 17:00:00,418
2021-03-08 18:00:00,383
2021-03-08 19:00:00,577
2021-03-08 20:00:00,632
2021-03-08 21:00:00,583
2021-03-08 22:00:00,623
2021-03-08 23:00:00,1151
2021-03-09 00:00:00,805
2021-03-09 01:00:00,841
2021-03-09 02:00:00,717
2021-03-09 03:00:00,599
2021-03-09 04:00:00,538
2021-03-09 05:00:00,506
2021-03-09 06:00:00,778
2021-03-09 07:00:00,843
2021-03-09 08:00:00,717
2021-03-09 09:00:00,543
2021-03-09 10:00:00,263
2021-03-09 11:00:00,182
2021-03-09 12:00:00,204
2021-03-09 13:00:00,212
2021-03-09 14:00:00,189
2021-03-09 15:00:00,88
2021-03-09 16:00:00,60
2021-03-09 17:00:00,15
2021-03-09 18:00:00,0
2021-03-09 19:00:00,48
2021-03-09 20:00:00,241
2021-03-09 21:00:00,294
2021-03-09 22:00:00,209
2021-03-09 23:00:00,202
2021-03-10 00:00:00,92
2021-03-10 01:00:00,0
2021-03-10 02:00:00,58
2021-03-10 03:00:00,120
2021-03-10 04:00:00,374
2021-03-10 05:00:00,422
2021-03-10 06:00:00,449
2021-03-10 07:00:00,231
